<工艺|酸含量|酯含量|醇含量|微生物含量|产量|质感|高级酸|高级酯|高级醇|______|描述|凹凸|强度|浓郁度|连绵度|陈敛细腻度|风味>
原、辅料准备|0|0|0|0|0|0|0|0|0|0|descirption|90|0|0|0|0|0|
粉碎润料|0|0|0|0|0|0|0|0|0|0|descirption|30|0|0|0|0|0|
配料|0|0|0|0|0|0|0|0|0|0|descirption|30|0|0|0|0|0|
蒸煮摊凉|0|0|0|0|0|0|0|0|0|0|descirption|90|2|3|3|3|5|
修窖|0|0|0|0|0|0|0|0|0|0|descirption|90|0|0|0|0|0|
制曲、入曲|0|0|0|0|0|0|0|0|0|0|descirption|120|0|0|0|0|0|
发酵|0|0|0|0|0|0|0|0|0|0|descirption|90|0|0|0|0|0|
加原辅料|0|0|0|0|0|0|0|0|0|0|descirption|30|0|0|0|0|0|
上甑|0|0|0|0|0|0|0|0|0|0|descirption|90|5|10|12|12|5|
蒸馏|0|0|0|0|0|0|0|0|0|0|descirption|120|0|0|0|0|0|
看花摘酒|0|0|0|0|0|0|0|0|0|0|descirption|60|0|15|15|15|10|
陈酿|0|0|0|0|0|0|0|0|0|0|descirption|30|0|0|0|0|0|
勾兑勾调|0|0|0|0|0|0|0|0|0|0|descirption|90|0|0|0|0|0|
离心杀菌|0|0|0|0|0|0|0|0|0|0|descirption|30|0|0|0|0|0|
灌装|0|0|0|0|0|0|0|0|0|0|descirption|60|0|0|0|0|5|
鉴酒|0|0|0|0|0|0|0|0|0|0|descirption|60|0|0|0|0|0|
粉碎强度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|3|1|2|2|4|
粉碎强度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|2|1|3|
粉碎强度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|1|1|2|
原、辅料配比（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|0|5|5|15|
原、辅料配比（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|0|3|3|10|
原、辅料配比（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|0|3|3|5|
加曲量（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|15|6|3|3|4|
加曲量（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|8|8|5|5|6|
加曲量（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|4|4|4|4|4|
发酵温度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|5|3|3|3|
发酵温度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|5|5|6|5|
发酵温度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|3|3|3|
发酵酸度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|2|3|2|2|
发酵酸度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|5|4|3|
发酵酸度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|2|3|2|3|
发酵时长（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|24|9|15|12|16|
发酵时长（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|18|16|15|12|12|
发酵时长（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|12|12|15|12|9|
蒸馏温度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|5|3|3|2|5|
蒸馏温度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|5|4|4|5|
蒸馏温度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|1|2|3|2|4|
蒸馏时长（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|30|16|10|12|5|
蒸馏时长（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|25|12|15|15|5|
蒸馏时长（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|20|12|15|15|5|
陈酿温度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|2|2|4|
陈酿温度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|3|3|3|3|
陈酿温度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|2|4|3|4|3|
陈酿湿度（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|2|1|1|2|
陈酿湿度（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|2|2|2|2|
陈酿湿度（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|0|2|1|2|1|
陈酿时长（高）|0|0|0|0|0|0|0|0|0|0|descirption|0|5|5|5|5|5|
陈酿时长（中）|0|0|0|0|0|0|0|0|0|0|descirption|0|5|3|4|3|4|
陈酿时长（低）|0|0|0|0|0|0|0|0|0|0|descirption|0|3|3|3|3|3|
